Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S1206:  ""This class overrides equals() and should therefore also override hashCode().""",MINOR,15min,Key: AYRYwKK9zLdrJGM29xoK Path: Analisi-1:plc4j/integrations/apache-camel/src/main/java/org/apache/plc4x/camel/TagData.java - startLine: 111;startOffset: 19;endOffset: 25;endLine: 111,Reliability (Bugs)
To-Do,New,Normal,"java:S1226:  ""Introduce a new variable instead of reusing the parameter plcValue.""",MINOR,5min,Key: AYebDuy2pWSi3EnGk_v6 Path: Analisi-1:plc4j/drivers/ab-eth/src/main/java/org/apache/plc4x/java/abeth/protocol/Plc4xAbEthProtocol.java - startLine: 190;startOffset: 24;endOffset: 32;endLine: 190,Reliability (Bugs)
To-Do,New,Normal,"java:S1226:  ""Introduce a new variable instead of reusing the parameter plcValue.""",MINOR,5min,Key: AYebDuy2pWSi3EnGk_v7 Path: Analisi-1:plc4j/drivers/ab-eth/src/main/java/org/apache/plc4x/java/abeth/protocol/Plc4xAbEthProtocol.java - startLine: 192;startOffset: 24;endOffset: 32;endLine: 192,Reliability (Bugs)
To-Do,New,Normal,"java:S1226:  ""Introduce a new variable instead of reusing the parameter plcValue.""",MINOR,5min,Key: AYebDuy2pWSi3EnGk_v8 Path: Analisi-1:plc4j/drivers/ab-eth/src/main/java/org/apache/plc4x/java/abeth/protocol/Plc4xAbEthProtocol.java - startLine: 201;startOffset: 24;endOffset: 32;endLine: 201,Reliability (Bugs)
To-Do,New,Normal,"java:S1226:  ""Introduce a new variable instead of reusing the parameter plcValue.""",MINOR,5min,Key: AYebDuy2pWSi3EnGk_v9 Path: Analisi-1:plc4j/drivers/ab-eth/src/main/java/org/apache/plc4x/java/abeth/protocol/Plc4xAbEthProtocol.java - startLine: 203;startOffset: 24;endOffset: 32;endLine: 203,Reliability (Bugs)
To-Do,New,Normal,"java:S1226:  ""Introduce a new variable instead of reusing the parameter plcValue.""",MINOR,5min,Key: AYXj9yP4u2nwfZg9mt03 Path: Analisi-1:plc4j/drivers/ab-eth/src/main/java/org/apache/plc4x/java/abeth/protocol/Plc4xAbEthProtocol.java - startLine: 179;startOffset: 24;endOffset: 32;endLine: 179,Reliability (Bugs)
To-Do,New,Normal,"java:S1872:  ""Use an instanceof comparison instead.""",MAJOR,5min,Key: AYRYwJspzLdrJGM29w-t Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/connection/NettyChannelFactory.java - startLine: 131;startOffset: 17;endOffset: 82;endLine: 131,Reliability (Bugs)
To-Do,New,Normal,"java:S2095:  ""Use try-with-resources or close this DatagramSocket in a finally clause.""",BLOCKER,5min,Key: AYRYwJy7zLdrJGM29xDX Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/protocol/ProfinetProtocolLogic.java - startLine: 77;startOffset: 24;endOffset: 44;endLine: 77,Reliability (Bugs)
To-Do,New,Normal,"java:S2095:  ""Use try-with-resources or close this PcapHandle in a finally clause.""",BLOCKER,5min,Key: AYRYwKSczLdrJGM29xv_ Path: Analisi-1:plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java - startLine: 101;startOffset: 41;endOffset: 77;endLine: 102,Reliability (Bugs)
To-Do,New,Normal,"java:S2095:  ""Use try-with-resources or close this PcapHandle in a finally clause.""",BLOCKER,5min,Key: AYRYwKSczLdrJGM29xwC Path: Analisi-1:plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java - startLine: 104;startOffset: 39;endOffset: 77;endLine: 105,Reliability (Bugs)
To-Do,New,Normal,"java:S2095:  ""Use try-with-resources or close this PcapHandle in a finally clause.""",BLOCKER,5min,Key: AYRYwKSczLdrJGM29xwA Path: Analisi-1:plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java - startLine: 215;startOffset: 41;endOffset: 77;endLine: 216,Reliability (Bugs)
To-Do,New,Normal,"java:S2095:  ""Use try-with-resources or close this PcapHandle in a finally clause.""",BLOCKER,5min,Key: AYRYwKSczLdrJGM29xwB Path: Analisi-1:plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java - startLine: 218;startOffset: 39;endOffset: 77;endLine: 219,Reliability (Bugs)
To-Do,New,Normal,"java:S2095:  ""Use try-with-resources or close this Scanner in a finally clause.""",BLOCKER,5min,Key: AYRYwJyJzLdrJGM29xCc Path: Analisi-1:plc4j/drivers/knxnetip/src/main/java/org/apache/plc4x/java/knxnetip/ets/EtsParser.java - startLine: 79;startOffset: 34;endOffset: 60;endLine: 79,Reliability (Bugs)
To-Do,New,Normal,"java:S2095:  ""Use try-with-resources or close this TcpHexDumper in a finally clause.""",BLOCKER,5min,Key: AYRYwJ2_zLdrJGM29xF- Path: Analisi-1:plc4j/drivers/mock/src/main/java/org/apache/plc4x/java/mock/connection/tcp/TcpHexDumper.java - startLine: 128;startOffset: 36;endOffset: 58;endLine: 128,Reliability (Bugs)
To-Do,New,Normal,"java:S2097:  ""Add a type test to this method.""",MINOR,5min,Key: AYRYwKK9zLdrJGM29xoO Path: Analisi-1:plc4j/integrations/apache-camel/src/main/java/org/apache/plc4x/camel/TagData.java - startLine: 111;startOffset: 19;endOffset: 25;endLine: 111,Reliability (Bugs)
To-Do,New,Normal,"java:S2142:  ""Either re-interrupt this method or rethrow the InterruptedException that can be caught here.""",MAJOR,15min,Key: AYdNZ_QfwfvAF_ZQ-9hz Path: Analisi-1:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java - startLine: 191;startOffset: 17;endOffset: 28;endLine: 191,Reliability (Bugs)
To-Do,New,Normal,"java:S2142:  ""Either re-interrupt this method or rethrow the InterruptedException that can be caught here.""",MAJOR,15min,Key: AYb1LseKOz1K75YHZ1f8 Path: Analisi-1:plc4j/integrations/apache-nifi/nifi-plc4x-processors/src/main/java/org/apache/plc4x/nifi/Plc4xSinkProcessor.java - startLine: 83;startOffset: 17;endOffset: 39;endLine: 83,Reliability (Bugs)
To-Do,New,Normal,"java:S2142:  ""Either re-interrupt this method or rethrow the InterruptedException that can be caught here.""",MAJOR,15min,Key: AYbXt3dhr4kLSu96nONd Path: Analisi-1:plc4j/tools/scraper/src/main/java/org/apache/plc4x/java/scraper/triggeredscraper/TriggeredScraperImpl.java - startLine: 291;startOffset: 15;endOffset: 26;endLine: 291,Reliability (Bugs)
To-Do,New,Normal,"java:S2142:  ""Either re-interrupt this method or rethrow the InterruptedException that can be caught here.""",MAJOR,15min,Key: AYRYwKQ4zLdrJGM29xtE Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/manual/ManualTest.java - startLine: 138;startOffset: 17;endOffset: 28;endLine: 138,Reliability (Bugs)
To-Do,New,Normal,"java:S2142:  ""Either re-interrupt this method or rethrow the InterruptedException that can be caught here.""",MAJOR,15min,Key: AYRYwKJ9zLdrJGM29xng Path: Analisi-1:plc4j/tools/ui/src/main/java/org/apache/plc4x/java/ui/ConnectionTabController.java - startLine: 104;startOffset: 21;endOffset: 64;endLine: 104,Reliability (Bugs)
To-Do,New,Normal,"java:S2142:  ""Either re-interrupt this method or rethrow the InterruptedException that can be caught here.""",MAJOR,15min,Key: AYRYwJ5SzLdrJGM29xJe Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/discovery/AdsPlcDiscoverer.java - startLine: 214;startOffset: 17;endOffset: 39;endLine: 214,Reliability (Bugs)
To-Do,New,Normal,"java:S2142:  ""Either re-interrupt this method or rethrow the InterruptedException that can be caught here.""",MAJOR,15min,Key: AYRYwKJuzLdrJGM29xnT Path: Analisi-1:plc4j/tools/plc4x-server/src/main/java/org/apache/plc4x/java/tools/plc4xserver/protocol/Plc4xServerAdapter.java - startLine: 96;startOffset: 29;endOffset: 40;endLine: 96,Reliability (Bugs)
To-Do,New,Normal,"java:S2142:  ""Either re-interrupt this method or rethrow the InterruptedException that can be caught here.""",MAJOR,15min,Key: AYRYwKJuzLdrJGM29xnU Path: Analisi-1:plc4j/tools/plc4x-server/src/main/java/org/apache/plc4x/java/tools/plc4xserver/protocol/Plc4xServerAdapter.java - startLine: 129;startOffset: 29;endOffset: 40;endLine: 129,Reliability (Bugs)
To-Do,New,Normal,"java:S2142:  ""Either re-interrupt this method or rethrow the InterruptedException that can be caught here.""",MAJOR,15min,Key: AYRYwJsuzLdrJGM29w-1 Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/connection/DefaultNettyPlcConnection.java - startLine: 161;startOffset: 17;endOffset: 28;endLine: 161,Reliability (Bugs)
To-Do,New,Normal,"java:S2142:  ""Either re-interrupt this method or rethrow the InterruptedException that can be caught here.""",MAJOR,15min,Key: AYRYwKVszLdrJGM29xyU Path: Analisi-1:plc4j/transports/socketcan/src/main/java/org/apache/plc4x/java/transport/socketcan/netty/SocketCANChannel.java - startLine: 216;startOffset: 25;endOffset: 47;endLine: 216,Reliability (Bugs)
To-Do,New,Normal,"java:S2142:  ""Either re-interrupt this method or rethrow the InterruptedException that can be caught here.""",MAJOR,15min,Key: AYRYwKN7zLdrJGM29xrS Path: Analisi-1:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java - startLine: 275;startOffset: 17;endOffset: 60;endLine: 275,Reliability (Bugs)
To-Do,New,Normal,"java:S2142:  ""Either re-interrupt this method or rethrow the InterruptedException that can be caught here.""",MAJOR,15min,Key: AYRYwKMYzLdrJGM29xps Path: Analisi-1:plc4j/integrations/apache-nifi/nifi-plc4x-processors/src/main/java/org/apache/plc4x/nifi/Plc4xSinkProcessor.java - startLine: 73;startOffset: 17;endOffset: 28;endLine: 73,Reliability (Bugs)
To-Do,New,Normal,"java:S2142:  ""Either re-interrupt this method or rethrow the InterruptedException that can be caught here.""",MAJOR,15min,Key: AYRYwKUYzLdrJGM29xxO Path: Analisi-1:plc4j/examples/hello-influx-data-collection/src/main/java/org/apache/plc4x/java/examples/helloinflux/HelloInflux.java - startLine: 94;startOffset: 17;endOffset: 28;endLine: 94,Reliability (Bugs)
To-Do,New,Normal,"java:S2142:  ""Either re-interrupt this method or rethrow the InterruptedException that can be caught here.""",MAJOR,15min,Key: AYRYwKG5zLdrJGM29xk8 Path: Analisi-1:plc4j/tools/scraper/src/main/java/org/apache/plc4x/java/scraper/triggeredscraper/TriggeredScraperTask.java - startLine: 125;startOffset: 21;endOffset: 32;endLine: 125,Reliability (Bugs)
To-Do,New,Normal,"java:S2142:  ""Either re-interrupt this method or rethrow the InterruptedException that can be caught here.""",MAJOR,15min,Key: AYRYwKHKzLdrJGM29xlQ Path: Analisi-1:plc4j/tools/scraper/src/main/java/org/apache/plc4x/java/scraper/ScraperTaskImpl.java - startLine: 131;startOffset: 17;endOffset: 28;endLine: 131,Reliability (Bugs)
