Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'java.nio.ByteBuffer'.""",MINOR,2min,Key: AYfNC9xPf4Y5j0fqDUeE Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/tcp/discovery/ModbusPlcDiscoverer.java - startLine: 40;startOffset: 7;endOffset: 26;endLine: 40,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'org.apache.plc4x.java.api.messages.PlcReadResponse'.""",MINOR,2min,Key: AYfNC-Rkf4Y5j0fqDUeL Path: Analisi-1:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java - startLine: 40;startOffset: 7;endOffset: 57;endLine: 40,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'org.apache.plc4x.java.api.model.PlcTag'.""",MINOR,2min,Key: AYfNC9SXf4Y5j0fqDUeC Path: Analisi-1:plc4j/api/src/main/java/org/apache/plc4x/java/api/PlcConnection.java - startLine: 24;startOffset: 7;endOffset: 45;endLine: 24,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'org.apache.plc4x.java.api.types.PlcResponseCode'.""",MINOR,2min,Key: AYfNC-Rkf4Y5j0fqDUeM Path: Analisi-1:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java - startLine: 43;startOffset: 7;endOffset: 54;endLine: 43,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'org.apache.plc4x.java.spi.transaction.RequestTransactionManager'.""",MINOR,2min,Key: AYfNC9osf4Y5j0fqDUeD Path: Analisi-1:plc4j/drivers/knxnetip/src/main/java/org/apache/plc4x/java/knxnetip/protocol/KnxNetIpProtocolLogic.java - startLine: 48;startOffset: 7;endOffset: 70;endLine: 48,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1144:  ""Remove this unused private createLightingData method.""",MAJOR,5min,Key: AYfNC-Gof4Y5j0fqDUeI Path: Analisi-1:plc4j/utils/plc-simulator/src/main/java/org/apache/plc4x/simulator/server/cbus/protocol/CBusServerAdapter.java - startLine: 449;startOffset: 27;endOffset: 45;endLine: 449,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1144:  ""Remove this unused private sendMonitoredMMIs method.""",MAJOR,5min,Key: AYfNC-Gof4Y5j0fqDUeH Path: Analisi-1:plc4j/utils/plc-simulator/src/main/java/org/apache/plc4x/simulator/server/cbus/protocol/CBusServerAdapter.java - startLine: 380;startOffset: 24;endOffset: 41;endLine: 380,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1450:  ""Remove the monitorApplicationAddress1 field and declare it as a local variable in the relevant methods.""",MINOR,5min,Key: AYfNC-Gof4Y5j0fqDUeF Path: Analisi-1:plc4j/utils/plc-simulator/src/main/java/org/apache/plc4x/simulator/server/cbus/protocol/CBusServerAdapter.java - startLine: 65;startOffset: 24;endOffset: 50;endLine: 65,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1450:  ""Remove the monitorApplicationAddress2 field and declare it as a local variable in the relevant methods.""",MINOR,5min,Key: AYfNC-Gof4Y5j0fqDUeG Path: Analisi-1:plc4j/utils/plc-simulator/src/main/java/org/apache/plc4x/simulator/server/cbus/protocol/CBusServerAdapter.java - startLine: 66;startOffset: 24;endOffset: 50;endLine: 66,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2187:  ""Add some tests to this class.""",BLOCKER,5min,Key: AYfNC-PGf4Y5j0fqDUeK Path: Analisi-1:plc4j/integrations/apache-nifi/nifi-plc4x-processors/src/test/java/org/apache/plc4x/nifi/Plc4xSinkProcessorTest.java - startLine: 25;startOffset: 7;endOffset: 29;endLine: 25,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2925:  ""Remove this use of Thread.sleep().""",MAJOR,20min,Key: AYRYwJwhzLdrJGM29xBN Path: Analisi-1:plc4j/spi/src/test/java/org/apache/plc4x/java/spi/Plc4xNettyWrapperTest.java - startLine: 90;startOffset: 15;endOffset: 20;endLine: 90,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5778:  ""Refactor the code of the lambda to have only one invocation possibly throwing a runtime exception.""",MAJOR,5min,Key: AYRYwKKezLdrJGM29xno Path: Analisi-1:plc4j/integrations/apache-camel/src/test/java/org/apache/plc4x/camel/ConstantsTest.java - startLine: 32;startOffset: 8;endOffset: 20;endLine: 32,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5778:  ""Refactor the code of the lambda to have only one invocation possibly throwing a runtime exception.""",MAJOR,5min,Key: AYRYwKDrzLdrJGM29xjM Path: Analisi-1:plc4j/api/src/test/java/org/apache/plc4x/java/api/exceptions/PlcIncompatibleDatatypeExceptionTest.java - startLine: 30;startOffset: 8;endOffset: 20;endLine: 30,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5786:  ""Remove this 'public' modifier.""",INFO,2min,Key: AYRYwKNMzLdrJGM29xqY Path: Analisi-1:plc4j/integrations/apache-nifi/nifi-plc4x-processors/src/test/java/org/apache/plc4x/nifi/Plc4xSourceRecordProcessorTest.java - startLine: 31;startOffset: 0;endOffset: 6;endLine: 31,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5786:  ""Remove this 'public' modifier.""",INFO,2min,Key: AYRYwKNMzLdrJGM29xqV Path: Analisi-1:plc4j/integrations/apache-nifi/nifi-plc4x-processors/src/test/java/org/apache/plc4x/nifi/Plc4xSourceRecordProcessorTest.java - startLine: 53;startOffset: 4;endOffset: 10;endLine: 53,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5786:  ""Remove this 'public' modifier.""",INFO,2min,Key: AYRYwKNMzLdrJGM29xqW Path: Analisi-1:plc4j/integrations/apache-nifi/nifi-plc4x-processors/src/test/java/org/apache/plc4x/nifi/Plc4xSourceRecordProcessorTest.java - startLine: 66;startOffset: 4;endOffset: 10;endLine: 66,Maintenance (Code Smells)
