Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:5852:""Make sure the regex used here, which is vulnerable to polynomial runtime due to backtracking, cannot lead to denial of service.""",Medium,5min,Path: Analisi-1: plc4j/drivers/mock/src/main/java/org/apache/plc4x/java/mock/tag/MockTag.java startLine: 37;startOffset: 17;endOffset: 24;endLine: 37,Reliability (Security Hotspots)
To-Do,New,Normal,"java:5852:""Make sure the regex used here, which is vulnerable to polynomial runtime due to backtracking, cannot lead to denial of service.""",Medium,5min,Path: Analisi-1: plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/RequirePcapCondition.java startLine:40 ;startOffset: 17;endOffset: 24;endLine:40 ,Reliability (Security Hotspots)
To-Do,New,Normal,"java:5852:""Make sure the regex used here, which is vulnerable to polynomial runtime due to backtracking, cannot lead to denial of service.""",Medium,5min,Path: Analisi-1: plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/RequirePcapNgCondition.java startLine:49 ;startOffset:17 ;endOffset:17 ;endLine: 49,Reliability (Security Hotspots)
To-Do,New,Normal,"java:2245: ""Make sure that using this pseudorandom number generator is safe here.""",Medium,5min,Path: Analisi-1: plc4j/utils/plc-simulator/src/main/java/org/apache/plc4x/simulator/server/cbus/protocol/CBusServerAdapter.java startLine:423 ;startOffset: 56;endOffset: 65;endLine: 423,Reliability (Security Hotspots)
To-Do,New,Normal,"java:2245: ""Make sure that using this pseudorandom number generator is safe here.""",Medium,5min,Path: Analisi-1: plc4j/utils/plc-simulator/src/main/java/org/apache/plc4x/simulator/server/cbus/protocol/CBusServerAdapter.java startLine: 451;startOffset:30 ;endOffset: 38;endLine: 451 ,Reliability (Security Hotspots)
To-Do,New,Normal,"java:4507: ""Make sure this debug feature is deactivated before delivering the code in production.""",Low,5min,Path: Analisi-1plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/discovery/ProfinetPlcDiscoverer.java startLine: 285;startOffset:47 ;endOffset:4 ;endLine:285 ,Reliability (Security Hotspots)
To-Do,New,Normal,"java:4507: ""Make sure this debug feature is deactivated before delivering the code in production.""",Low,5min,Path: Analisi-1: plc4j/examples/hello-opm/src/main/java/org/apache/plc4x/java/examples/helloopm/HelloOpm.java startLine:80 ;startOffset: 47;endOffset:64 ;endLine: 80 ,Reliability (Security Hotspots)
To-Do,New,Normal,"java:4507: ""Make sure this debug feature is deactivated before delivering the code in production.""",Low,5min,Path: Analisi-1: plc4j/examples/hello-opm/src/main/java/org/apache/plc4x/java/examples/helloopm/HelloOpm.java startLine: 99;startOffset: 47;endOffset: 64 ;endLine: 99 ,Reliability (Security Hotspots)
To-Do,New,Normal,"java:4507: ""Make sure this debug feature is deactivated before delivering the code in production.""",Low,5min,Path: Analisi-1: plc4j/integrations/apache-kafka/src/main/java/org/apache/plc4x/kafka/Plc4xSourceConnector.java startLine:95 ;startOffset:47 ;endOffset: 64;endLine: 95,Reliability (Security Hotspots)
To-Do,New,Normal,"java:4507: ""Make sure this debug feature is deactivated before delivering the code in production.""",Low,5min,Path: Analisi-1: plc4j/integrations/apache-nifi/nifi-plc4x-processors/src/main/java/org/apache/plc4x/nifi/record/Plc4xReadResponseRecordSet.java startLine:139 ;startOffset:47 ;endOffset: 64;endLine: 139,Reliability (Security Hotspots)
To-Do,New,Normal,"java:4507: ""Make sure this debug feature is deactivated before delivering the code in production.""",Low,5min,Path: Analisi-1: plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java startLine: 264;startOffset: 47 ;endOffset: 64;endLine: 264,Reliability (Security Hotspots)
To-Do,New,Normal,"java:4507: ""Make sure this debug feature is deactivated before delivering the code in production.""",Low,5min,Path: Analisi-1: plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xNamespace.java startLine: 128;startOffset:47 ;endOffset: 64;endLine: 128,Reliability (Security Hotspots)
To-Do,New,Normal,"java:4507: ""Make sure this debug feature is deactivated before delivering the code in production.""",Low,5min,Path: Analisi-1: plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xNamespace.java startLine: 227;startOffset: 47 ;endOffset: 64 ;endLine: 227,Reliability (Security Hotspots)
To-Do,New,Normal,"java:4507: ""Make sure this debug feature is deactivated before delivering the code in production.""",Low,5min,Path: Analisi-1: plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xNamespace.java startLine: 233;startOffset: 47;endOffset: 64 ;endLine: 233,Reliability (Security Hotspots)
To-Do,New,Normal,"java:4507: ""Make sure this debug feature is deactivated before delivering the code in production.""",Low,5min,Path: Analisi-1: plc4j/tools/connection-cache/src/main/java/org/apache/plc4x/java/utils/connectionpool2/PooledDriverManager.java startLine: 58;startOffset: 47;endOffset: 64;endLine: 58,Reliability (Security Hotspots)
To-Do,New,Normal,"java:4507: ""Make sure this debug feature is deactivated before delivering the code in production.""",Low,5min,Path: Analisi-1: plc4j/transports/serial/src/main/java/org/apache/plc4x/java/transport/serial/SerialChannel.java startLine: 290;startOffset: 47;endOffset: 64;endLine: 290,Reliability (Security Hotspots)
To-Do,New,Normal,"java:4507: ""Make sure this debug feature is deactivated before delivering the code in production.""",Low,5min,Path: Analisi-1: plc4j/utils/plc-simulator/src/main/java/org/apache/plc4x/simulator/server/bacnet/protocol/BacnetServerAdapter.java startLine: 96;startOffset:47 ;endOffset: 64 ;endLine: 96,Reliability (Security Hotspots)
To-Do,New,Normal,"java: 4544: ""Make sure using this Jackson deserialization configuration is safe here.""",Low,5min,Path: Analisi-1: Make sure using this Jackson deserialization configuration is safe here. startLine:36 ;startOffset:21 ;endOffset: 42;endLine:36 ,Reliability (Security Hotspots)
To-Do,New,Normal,"java: 4544: ""Make sure using this Jackson deserialization configuration is safe here.""",Low,5min,Path: Analisi-1: plc4j/api/src/main/java/org/apache/plc4x/java/api/model/PlcTag.java startLine: 40;startOffset: 21 ;endOffset:42 ;endLine: 40,Reliability (Security Hotspots)
To-Do,New,Normal,"java: 4544: ""Make sure using this Jackson deserialization configuration is safe here.""",Low,5min,Path: Analisi-1: plc4j/api/src/main/java/org/apache/plc4x/java/api/value/PlcValue.java startLine: 37;startOffset: 21;endOffset: 42;endLine: 37,Reliability (Security Hotspots)
