Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S100:  ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJ4KzLdrJGM29xH8 Path: Analisi-1:plc4j/drivers/bacnet/src/main/java/org/apache/plc4x/java/bacnetip/readwrite/utils/StaticHelper.java - startLine: 669;startOffset: 57;endOffset: 80;endLine: 669,Maintenance (Code Smells)
To-Do,New,Normal,"java:S100:  ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJmLzLdrJGM29w7g Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/StaticHelper.java - startLine: 29;startOffset: 22;endOffset: 41;endLine: 29,Maintenance (Code Smells)
To-Do,New,Normal,"java:S100:  ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJmLzLdrJGM29w7h Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/StaticHelper.java - startLine: 57;startOffset: 22;endOffset: 27;endLine: 57,Maintenance (Code Smells)
To-Do,New,Normal,"java:S100:  ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJmLzLdrJGM29w7j Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/StaticHelper.java - startLine: 102;startOffset: 22;endOffset: 29;endLine: 102,Maintenance (Code Smells)
To-Do,New,Normal,"java:S100:  ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJmLzLdrJGM29w7k Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/StaticHelper.java - startLine: 113;startOffset: 24;endOffset: 28;endLine: 113,Maintenance (Code Smells)
To-Do,New,Normal,"java:S100:  ""Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJmLzLdrJGM29w7l Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/StaticHelper.java - startLine: 121;startOffset: 22;endOffset: 26;endLine: 121,Maintenance (Code Smells)
To-Do,New,Normal,"java:S101:  ""Rename this class name to match the regular expression '^[A-Z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJm2zLdrJGM29w8R Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/values/PlcTIME_OF_DAY.java - startLine: 36;startOffset: 13;endOffset: 27;endLine: 36,Maintenance (Code Smells)
To-Do,New,Normal,"java:S101:  ""Rename this class name to match the regular expression '^[A-Z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYRYwJorzLdrJGM29w9I Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/values/PlcDATE_AND_TIME.java - startLine: 34;startOffset: 13;endOffset: 29;endLine: 34,Maintenance (Code Smells)
To-Do,New,Normal,"java:S101:  ""Rename this class name to match the regular expression '^[A-Z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYTizPHHrw1gdFIeCChB Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/values/PlcLTIME_OF_DAY.java - startLine: 34;startOffset: 13;endOffset: 28;endLine: 34,Maintenance (Code Smells)
To-Do,New,Normal,"java:S101:  ""Rename this class name to match the regular expression '^[A-Z][a-zA-Z0-9]*$'.""",MINOR,5min,Key: AYTizPIErw1gdFIeCChH Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/values/PlcLDATE_AND_TIME.java - startLine: 34;startOffset: 13;endOffset: 30;endLine: 34,Maintenance (Code Smells)
To-Do,New,Normal,"java:S106:  ""Replace this use of System.out or System.err by a logger.""",MAJOR,10min,Key: AYRYwKQ4zLdrJGM29xtJ Path: Analisi-1:plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/manual/ManualTest.java - startLine: 144;startOffset: 16;endOffset: 26;endLine: 144,Maintenance (Code Smells)
