Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S5976:  ""Replace these 3 tests with a single Parameterized one.""",MAJOR,10min,Key: AYRYwJ_0zLdrJGM29xh_ Path: Analisi-1:plc4j/drivers/c-bus/src/test/java/org/apache/plc4x/java/cbus/ReferenceTest.java - startLine: 1336;startOffset: 21;endOffset: 30;endLine: 1336,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5976:  ""Replace these 3 tests with a single Parameterized one.""",MAJOR,10min,Key: AYRYwJ_0zLdrJGM29xh- Path: Analisi-1:plc4j/drivers/c-bus/src/test/java/org/apache/plc4x/java/cbus/ReferenceTest.java - startLine: 1297;startOffset: 21;endOffset: 32;endLine: 1297,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5976:  ""Replace these 3 tests with a single Parameterized one.""",MAJOR,10min,Key: AYRYwJ_0zLdrJGM29xh0 Path: Analisi-1:plc4j/drivers/c-bus/src/test/java/org/apache/plc4x/java/cbus/ReferenceTest.java - startLine: 912;startOffset: 13;endOffset: 23;endLine: 912,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5976:  ""Replace these 3 tests with a single Parameterized one.""",MAJOR,10min,Key: AYRYwJ_0zLdrJGM29xh1 Path: Analisi-1:plc4j/drivers/c-bus/src/test/java/org/apache/plc4x/java/cbus/ReferenceTest.java - startLine: 358;startOffset: 17;endOffset: 61;endLine: 358,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5976:  ""Replace these 4 tests with a single Parameterized one.""",MAJOR,10min,Key: AYRYwJ_0zLdrJGM29xh2 Path: Analisi-1:plc4j/drivers/c-bus/src/test/java/org/apache/plc4x/java/cbus/ReferenceTest.java - startLine: 395;startOffset: 17;endOffset: 22;endLine: 395,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5976:  ""Replace these 5 tests with a single Parameterized one.""",MAJOR,10min,Key: AYRYwJ_0zLdrJGM29xh3 Path: Analisi-1:plc4j/drivers/c-bus/src/test/java/org/apache/plc4x/java/cbus/ReferenceTest.java - startLine: 604;startOffset: 17;endOffset: 27;endLine: 604,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5976:  ""Replace these 7 tests with a single Parameterized one.""",MAJOR,10min,Key: AYRYwJ_0zLdrJGM29xh4 Path: Analisi-1:plc4j/drivers/c-bus/src/test/java/org/apache/plc4x/java/cbus/ReferenceTest.java - startLine: 743;startOffset: 17;endOffset: 29;endLine: 743,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5976:  ""Replace these 3 tests with a single Parameterized one.""",MAJOR,10min,Key: AYRYwJ_0zLdrJGM29xh5 Path: Analisi-1:plc4j/drivers/c-bus/src/test/java/org/apache/plc4x/java/cbus/ReferenceTest.java - startLine: 985;startOffset: 21;endOffset: 25;endLine: 985,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5976:  ""Replace these 3 tests with a single Parameterized one.""",MAJOR,10min,Key: AYRYwJ_0zLdrJGM29xh6 Path: Analisi-1:plc4j/drivers/c-bus/src/test/java/org/apache/plc4x/java/cbus/ReferenceTest.java - startLine: 1086;startOffset: 17;endOffset: 36;endLine: 1086,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5976:  ""Replace these 6 tests with a single Parameterized one.""",MAJOR,10min,Key: AYRYwJ_0zLdrJGM29xh7 Path: Analisi-1:plc4j/drivers/c-bus/src/test/java/org/apache/plc4x/java/cbus/ReferenceTest.java - startLine: 1129;startOffset: 17;endOffset: 35;endLine: 1129,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5976:  ""Replace these 3 tests with a single Parameterized one.""",MAJOR,10min,Key: AYRYwJ_0zLdrJGM29xh8 Path: Analisi-1:plc4j/drivers/c-bus/src/test/java/org/apache/plc4x/java/cbus/ReferenceTest.java - startLine: 1210;startOffset: 21;endOffset: 26;endLine: 1210,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5976:  ""Replace these 3 tests with a single Parameterized one.""",MAJOR,10min,Key: AYRYwJ_0zLdrJGM29xh9 Path: Analisi-1:plc4j/drivers/c-bus/src/test/java/org/apache/plc4x/java/cbus/ReferenceTest.java - startLine: 1255;startOffset: 17;endOffset: 24;endLine: 1255,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5976:  ""Replace these 4 tests with a single Parameterized one.""",MAJOR,10min,Key: AYRYwJ_0zLdrJGM29xhv Path: Analisi-1:plc4j/drivers/c-bus/src/test/java/org/apache/plc4x/java/cbus/ReferenceTest.java - startLine: 60;startOffset: 21;endOffset: 33;endLine: 60,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5976:  ""Replace these 5 tests with a single Parameterized one.""",MAJOR,10min,Key: AYRYwJ_0zLdrJGM29xhw Path: Analisi-1:plc4j/drivers/c-bus/src/test/java/org/apache/plc4x/java/cbus/ReferenceTest.java - startLine: 120;startOffset: 21;endOffset: 28;endLine: 120,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5976:  ""Replace these 5 tests with a single Parameterized one.""",MAJOR,10min,Key: AYRYwJ_0zLdrJGM29xhx Path: Analisi-1:plc4j/drivers/c-bus/src/test/java/org/apache/plc4x/java/cbus/ReferenceTest.java - startLine: 184;startOffset: 21;endOffset: 33;endLine: 184,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5976:  ""Replace these 5 tests with a single Parameterized one.""",MAJOR,10min,Key: AYRYwJ_0zLdrJGM29xhy Path: Analisi-1:plc4j/drivers/c-bus/src/test/java/org/apache/plc4x/java/cbus/ReferenceTest.java - startLine: 281;startOffset: 21;endOffset: 33;endLine: 281,Maintenance (Code Smells)
