Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,74714BFC-EDF7-445B-8672-0996214D5845: Unreleased Resource: Streams,High,,protocols/plc4x-api/src/main/java/org/apache/plc4x/protocol/plc4xapi/v0/Plc4xApi.java:51,Security (Vulnerabilities)
To-Do,New,Normal,138700B9-C625-4262-9826-C8F3450D6838: Path Manipulation,High,,code-generation/language-base-freemarker/src/main/java/org/apache/plc4x/plugins/codegenerator/protocol/freemarker/FreemarkerLanguageOutput.java:161,Security (Vulnerabilities)
To-Do,New,Normal,74714BFC-EDF7-445B-8672-0996214D5845: Unreleased Resource: Streams,High,,protocols/simulated/src/main/java/org/apache/plc4x/protocol/simulated/SimulatedProtocol.java:37,Security (Vulnerabilities)
To-Do,New,Normal,74714BFC-EDF7-445B-8672-0996214D5845: Unreleased Resource: Streams,High,,protocols/opcua/src/main/java/org/apache/plc4x/protocol/opcua/OpcuaProtocol.java:50,Security (Vulnerabilities)
To-Do,New,Normal,C7D64877-9D39-40E0-9510-5B7051F6E778: Often Misused: Authentication,High,,plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java:78,Security (Vulnerabilities)
To-Do,New,Normal,C7D64877-9D39-40E0-9510-5B7051F6E778: Often Misused: Authentication,High,,plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java:77,Security (Vulnerabilities)
To-Do,New,Normal,823FE039-A7FE-4AAD-B976-9EC53FFE4A59: Path Manipulation,High,,plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/configuration/PasswordConfiguration.java:76,Security (Vulnerabilities)
To-Do,New,Normal,B32F92AC-9605-0987-E73B-CCB28279AA24: Null Dereference,High,,plc4j/drivers/opcua/src/main/java/org/apache/plc4x/java/opcua/protocol/OpcuaSubscriptionHandle.java:180,Security (Vulnerabilities)
To-Do,New,Normal,B32F92AC-9605-0987-E73B-CCB28279AA24: Null Dereference,High,,plc4j/drivers/opcua/src/main/java/org/apache/plc4x/java/opcua/protocol/OpcuaSubscriptionHandle.java:291,Security (Vulnerabilities)
To-Do,New,Normal,C7D64877-9D39-40E0-9510-5B7051F6E778: Often Misused: Authentication,High,,plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java:320,Security (Vulnerabilities)
To-Do,New,Normal,D8E9ED3B-22EC-4CBA-98C8-7C67F73CCF4C: Portability Flaw: Locale Dependent Comparison,High,,plc4j/spi/src/main/java/org/apache/plc4x/java/spi/values/IEC61131ValueHandler.java:126,Security (Vulnerabilities)
To-Do,New,Normal,C7D64877-9D39-40E0-9510-5B7051F6E778: Often Misused: Authentication,High,,plc4j/utils/raw-sockets/src/main/java/org/apache/plc4x/java/utils/rawsockets/netty/utils/ArpUtils.java:155,Security (Vulnerabilities)
To-Do,New,Normal,823FE039-A7FE-4AAD-B976-9EC53FFE4A59: Path Manipulation,High,,plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/configuration/PasswordConfiguration.java:76,Security (Vulnerabilities)
To-Do,New,Normal,788E3752-66EE-4EE0-8C5D-9F24DBBECEE1: Path Manipulation,High,,plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/OPCUAServer.java:121,Security (Vulnerabilities)
To-Do,New,Normal,74714BFC-EDF7-445B-8672-0996214D5845: Unreleased Resource: Streams,High,,protocols/ads/src/main/java/org/apache/plc4x/protocol/ads/ADSDiscoveryProtocol.java:40,Security (Vulnerabilities)
To-Do,New,Normal,C7D64877-9D39-40E0-9510-5B7051F6E778: Often Misused: Authentication,High,,plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/OPCUAServer.java:271,Security (Vulnerabilities)
To-Do,New,Normal,B32F92AC-9605-0987-E73B-CCB28279AA24: Null Dereference,High,,plc4j/drivers/s7/src/main/java/org/apache/plc4x/java/s7/events/S7AlarmEvent.java:205,Security (Vulnerabilities)
To-Do,New,Normal,74714BFC-EDF7-445B-8672-0996214D5845: Unreleased Resource: Streams,High,,protocols/s7/src/main/java/org/apache/plc4x/protocol/s7/S7Protocol.java:37,Security (Vulnerabilities)
To-Do,New,Normal,B32F92AC-9605-0987-E73B-CCB28279AA24: Null Dereference,High,,plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/OPCUAServer.java:245,Security (Vulnerabilities)
To-Do,New,Normal,74714BFC-EDF7-445B-8672-0996214D5845: Unreleased Resource: Streams,High,,protocols/bacnetip/src/main/java/org/apache/plc4x/protocol/bacnetip/BacNetIpProtocol.java:47,Security (Vulnerabilities)
To-Do,New,Normal,C7D64877-9D39-40E0-9510-5B7051F6E778: Often Misused: Authentication,High,,plc4j/drivers/knxnetip/src/main/java/org/apache/plc4x/java/knxnetip/protocol/KnxNetIpProtocolLogic.java:97,Security (Vulnerabilities)
To-Do,New,Normal,08C47B0A-C83B-4B1B-8BDD-6BF44F9AE58A: Access Specifier Manipulation,High,,plc4j/tools/opm/src/main/java/org/apache/plc4x/java/opm/PlcEntityInterceptor.java:310,Security (Vulnerabilities)
To-Do,New,Normal,C7D64877-9D39-40E0-9510-5B7051F6E778: Often Misused: Authentication,High,,plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/RequireNonCaptureAllDnsCondition.java:32,Security (Vulnerabilities)
To-Do,New,Normal,C7D64877-9D39-40E0-9510-5B7051F6E778: Often Misused: Authentication,High,,plc4j/utils/test-utils/src/main/java/org/apache/plc4x/test/RequireInternetConnectionCondition.java:32,Security (Vulnerabilities)
To-Do,New,Normal,823FE039-A7FE-4AAD-B976-9EC53FFE4A59: Path Manipulation,High,,plc4j/examples/hello-influx-data-collection/src/main/java/org/apache/plc4x/java/examples/helloinflux/HelloInflux.java:153,Security (Vulnerabilities)
