Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed.",CRITICAL,15min,Key: AYXj9yTgu2nwfZg9mt1R Path: Analisi-1:plc4j/drivers/ab-eth/src/main/java/org/apache/plc4x/java/abeth/protocol/AbEthProtocolLogic.java - startLine: 170;startOffset: 16;endOffset: 25;endLine: 170,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 25 to the 15 allowed.",CRITICAL,15min,Key: AYXj9yP4u2nwfZg9mt0_ Path: Analisi-1:plc4j/drivers/ab-eth/src/main/java/org/apache/plc4x/java/abeth/protocol/Plc4xAbEthProtocol.java - startLine: 196;startOffset: 16;endOffset: 25;endLine: 196,Maintenance (Code Smells)
To-Do,New,Normal,java:S1905:  "Remove this unnecessary cast to int.",MINOR,5min,Key: AYXj9yfKu2nwfZg9mt1b Path: Analisi-1:plc4j/drivers/eip/src/main/java/org/apache/plc4x/java/eip/readwrite/EIPDriver.java - startLine: 102;startOffset: 24;endOffset: 29;endLine: 102,Maintenance (Code Smells)
To-Do,New,Normal,java:S115:  "Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.",CRITICAL,2min,Key: AYXj9yYpu2nwfZg9mt1a Path: Analisi-1:plc4j/drivers/mock/src/main/java/org/apache/plc4x/java/mock/connection/MockConnection.java - startLine: 48;startOffset: 31;endOffset: 38;endLine: 48,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 29 to the 15 allowed.",CRITICAL,19min,Key: AYWIwocLqMQIuPs8EWRe Path: Analisi-1:plc4j/drivers/ads/src/main/java/org/apache/plc4x/java/ads/protocol/AdsProtocolLogic.java - startLine: 1375;startOffset: 19;endOffset: 25;endLine: 1375,Maintenance (Code Smells)
To-Do,New,Normal,java:S112:  "Define and throw a dedicated exception instead of using a generic one.",MAJOR,20min,Key: AYWIwoQWqMQIuPs8EWRc Path: Analisi-1:plc4j/drivers/can/src/main/java/org/apache/plc4x/java/can/adapter/Plc4xCANProtocolBase.java - startLine: 36;startOffset: 22;endOffset: 38;endLine: 36,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 22 to the 15 allowed.",CRITICAL,12min,Key: AYWIwoOkqMQIuPs8EWRb Path: Analisi-1:plc4j/drivers/can/src/main/java/org/apache/plc4x/java/can/generic/protocol/GenericCANProtocolLogic.java - startLine: 87;startOffset: 16;endOffset: 22;endLine: 87,Maintenance (Code Smells)
To-Do,New,Normal,java:S1141:  "Extract this nested try block into a separate method.",MAJOR,20min,Key: AYWIwoOkqMQIuPs8EWRa Path: Analisi-1:plc4j/drivers/can/src/main/java/org/apache/plc4x/java/can/generic/protocol/GenericCANProtocolLogic.java - startLine: 99;startOffset: 24;endOffset: 27;endLine: 99,Maintenance (Code Smells)
To-Do,New,Normal,java:S1118:  "Hide this public constructor.",MAJOR,5min,Key: AYWIwoAwqMQIuPs8EWRV Path: Analisi-1:plc4j/drivers/canopen/src/main/java/org/apache/plc4x/java/canopen/context/CANOpenDriverContext.java - startLine: 27;startOffset: 11;endOffset: 31;endLine: 27,Maintenance (Code Smells)
To-Do,New,Normal,java:S3776:  "Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.",CRITICAL,14min,Key: AYWIwn8hqMQIuPs8EWRU Path: Analisi-1:plc4j/drivers/knxnetip/src/main/java/org/apache/plc4x/java/knxnetip/protocol/KnxNetIpProtocolLogic.java - startLine: 390;startOffset: 19;endOffset: 25;endLine: 390,Maintenance (Code Smells)
To-Do,New,Normal,java:S112:  "Define and throw a dedicated exception instead of using a generic one.",MAJOR,20min,Key: AYWIwoSLqMQIuPs8EWRd Path: Analisi-1:plc4j/drivers/mock/src/main/java/org/apache/plc4x/java/mock/connection/tcp/TcpHexDumper.java - startLine: 124;startOffset: 22;endOffset: 38;endLine: 124,Maintenance (Code Smells)
To-Do,New,Normal,java:S112:  "Define and throw a dedicated exception instead of using a generic one.",MAJOR,20min,Key: AYWIwoFtqMQIuPs8EWRZ Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/base/protocol/ModbusProtocolLogic.java - startLine: 66;startOffset: 22;endOffset: 38;endLine: 66,Maintenance (Code Smells)
To-Do,New,Normal,java:S112:  "Define and throw a dedicated exception instead of using a generic one.",MAJOR,20min,Key: AYWIwodqqMQIuPs8EWRf Path: Analisi-1:plc4j/drivers/plc4x/src/main/java/org/apache/plc4x/java/plc4x/protocol/Plc4xProtocolLogic.java - startLine: 195;startOffset: 22;endOffset: 38;endLine: 195,Maintenance (Code Smells)
