Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,java:S1172:  "Remove this unused method parameter resultType.",MAJOR,5min,Key: AYb1LtG5Oz1K75YHZ1gP Path: Analisi-1:code-generation/language-java/src/main/java/org/apache/plc4x/language/java/JavaLanguageTemplateHelper.java - startLine: 905;startOffset: 67;endOffset: 77;endLine: 905,Maintenance (Code Smells)
To-Do,New,Normal,java:S108:  "Either remove or fill this block of code.",MAJOR,5min,Key: AYb1LsC3Oz1K75YHZ1fy Path: Analisi-1:plc4j/drivers/canopen/src/main/java/org/apache/plc4x/java/canopen/protocol/CANOpenProtocolLogic.java - startLine: 139;startOffset: 46;endOffset: 47;endLine: 139,Maintenance (Code Smells)
To-Do,New,Normal,java:S108:  "Either remove or fill this block of code.",MAJOR,5min,Key: AYb1LsC3Oz1K75YHZ1fz Path: Analisi-1:plc4j/drivers/canopen/src/main/java/org/apache/plc4x/java/canopen/protocol/CANOpenProtocolLogic.java - startLine: 145;startOffset: 30;endOffset: 31;endLine: 145,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'java.sql.SQLClientInfoException'.",MINOR,2min,Key: AYb1LsJtOz1K75YHZ1f6 Path: Analisi-1:plc4j/drivers/modbus/src/main/java/org/apache/plc4x/java/modbus/tcp/discovery/ModbusPlcDiscoverer.java - startLine: 45;startOffset: 7;endOffset: 38;endLine: 45,Maintenance (Code Smells)
To-Do,New,Normal,java:S1128:  "Remove this unused import 'io.netty.resolver.AddressResolver'.",MINOR,2min,Key: AYb1LsGEOz1K75YHZ1f5 Path: Analisi-1:plc4j/drivers/profinet/src/main/java/org/apache/plc4x/java/profinet/discovery/ProfinetPlcDiscoverer.java - startLine: 44;startOffset: 7;endOffset: 40;endLine: 44,Maintenance (Code Smells)
To-Do,New,Normal,java:S1172:  "Remove this unused method parameter plcType.",MAJOR,5min,Key: AYb1LsyQOz1K75YHZ1gL Path: Analisi-1:plc4j/examples/poll-loop/src/main/java/org/apache/plc4x/java/examples/pollloop/PollLoop.java - startLine: 150;startOffset: 36;endOffset: 43;endLine: 150,Maintenance (Code Smells)
To-Do,New,Normal,java:S1135:  "Complete the task associated to this TODO comment.",INFO,0min,Key: AYb1LseKOz1K75YHZ1f7 Path: Analisi-1:plc4j/integrations/apache-nifi/nifi-plc4x-processors/src/main/java/org/apache/plc4x/nifi/Plc4xSinkProcessor.java - startLine: 64;startOffset: 0;endOffset: 70;endLine: 64,Maintenance (Code Smells)
To-Do,New,Normal,java:S1135:  "Complete the task associated to this TODO comment.",INFO,0min,Key: AYb1LseKOz1K75YHZ1f9 Path: Analisi-1:plc4j/integrations/apache-nifi/nifi-plc4x-processors/src/main/java/org/apache/plc4x/nifi/Plc4xSinkProcessor.java - startLine: 82;startOffset: 0;endOffset: 103;endLine: 82,Maintenance (Code Smells)
To-Do,New,Normal,java:S2142:  "Either re-interrupt this method or rethrow the InterruptedException that can be caught here.",MAJOR,15min,Key: AYb1LseKOz1K75YHZ1f8 Path: Analisi-1:plc4j/integrations/apache-nifi/nifi-plc4x-processors/src/main/java/org/apache/plc4x/nifi/Plc4xSinkProcessor.java - startLine: 84;startOffset: 17;endOffset: 39;endLine: 84,Reliability (Bugs)
To-Do,New,Normal,java:S2583:  "Change this condition so that it does not always evaluate to false",MAJOR,15min,Key: AYb1LsiOOz1K75YHZ1gA Path: Analisi-1:plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/backend/Plc4xCommunication.java - startLine: 219;startOffset: 16;endOffset: 34;endLine: 219,Reliability (Bugs)
To-Do,New,Normal,java:S1172:  "Remove these unused method parameters ignored2 ignored3.",MAJOR,5min,Key: AYb1LrM6Oz1K75YHZ1fp Path: Analisi-1:plc4j/spi/src/main/java/org/apache/plc4x/java/spi/codegen/fields/FieldReaderAbstract.java - startLine: 33;startOffset: 45;endOffset: 53;endLine: 33,Maintenance (Code Smells)
