Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetConstructedDataFileAll.java:82,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/modbus/target/generated-sources/plc4x/org/apache/plc4x/java/modbus/readwrite/ModbusAsciiADU.java:105,Security (Vulnerabilities)
To-Do,New,Normal,73B5DD01-BFBE-4CD5-8759-C432873136FB: J2EE Bad Practices: Sockets,Low,,plc4j/drivers/mock/src/main/java/org/apache/plc4x/java/mock/connection/tcp/TcpHexDumper.java:63,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/ads/target/generated-sources/plc4x/org/apache/plc4x/java/ads/readwrite/AdsReadDeviceInfoResponse.java:159,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/opcua/target/generated-sources/plc4x/org/apache/plc4x/java/opcua/readwrite/DoubleComplexNumberType.java:87,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetPriorityValueTime.java:94,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetConstructedDataAccessUserAll.java:68,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/eip/target/generated-sources/plc4x/org/apache/plc4x/java/eip/readwrite/CipRRData.java:124,Security (Vulnerabilities)
To-Do,New,Normal,0C82D0B5-1B23-4D56-B38E-F6263A454766: Dead Code: Expression is Always true,Low,,plc4j/drivers/knxnetip/target/generated-sources/plc4x/org/apache/plc4x/java/knxnetip/readwrite/ApduDataExtGroupPropertyValueInfoReport.java:113,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetNotificationParametersChangeOfDiscreteValueNewValueEnumerated.java:68,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/c-bus/target/generated-sources/plc4x/org/apache/plc4x/java/cbus/readwrite/SecurityDataOn.java:58,Security (Vulnerabilities)
To-Do,New,Normal,1834C857-2848-41F2-98F7-D5C5F157E729: Missing Check for Null Parameter,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetEventParameterDoubleOutOfRange.java:251,Security (Vulnerabilities)
To-Do,New,Normal,0C82D0B5-1B23-4D56-B38E-F6263A454766: Dead Code: Expression is Always true,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetClosingTag.java:144,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/bacnet/target/generated-sources/plc4x/org/apache/plc4x/java/bacnetip/readwrite/BACnetConfirmedServiceRequestRemoveListElement.java:89,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/c-bus/target/generated-sources/plc4x/org/apache/plc4x/java/cbus/readwrite/MediaTransportControlDataShuffleOnOff.java:115,Security (Vulnerabilities)
To-Do,New,Normal,4280F38B-9FDB-454E-B495-89CF45CD51B7: Missing Check against Null,Low,,plc4j/spi/src/main/java/org/apache/plc4x/java/spi/generation/StaticHelper.java:42,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/canopen/target/generated-sources/plc4x/org/apache/plc4x/java/canopen/readwrite/CANOpenFrame.java:119,Security (Vulnerabilities)
To-Do,New,Normal,B227CB65-6F20-4472-BBB7-13E157F32F6E: System Information Leak: Internal,Low,,plc4j/integrations/opcua-server/src/main/java/org/apache/plc4x/java/opcuaserver/OPCUAServer.java:193,Security (Vulnerabilities)
To-Do,New,Normal,B30AA17C-87EC-42CF-9160-CFDF122CE28E: Poor Style: Value Never Read,Low,,plc4j/drivers/c-bus/target/generated-sources/plc4x/org/apache/plc4x/java/cbus/readwrite/SecurityDataDisplayMessage.java:78,Security (Vulnerabilities)
